hdi_rank,country,region,gii_rep,gini,rank,mat_mort_ratio,mmr_calc,adol_birth_rate,parliament,PRf,PRm,seced_f,seced_m,Sef,Sem,labour_f,labour_m,female_index,male_index,harm,healthavg,empowermentavg,lfpravg,gfm,gii_calc,gii_rep2
162,Senegal,Africa,0.521,40.3,120,315,315,78.6,42.7,0.427,0.573,10.2,19.2,0.102,0.192,45,70.2,0.1236,0.6152,0.2058,0.51,0.2702,0.576,0.4298,0.5211,0.521
163,Uganda,Africa,0.522,44.3,121,343,343,111.9,35,0.35,0.65,25.9,32.1,0.259,0.321,82.3,87.7,0.1587,0.7372,0.2612,0.5081,0.3789,0.85,0.547,0.5224,0.522
165,Sudan,Africa,0.575,35.3,140,311,311,74,31,0.31,0.69,13.7,18.8,0.137,0.188,24.3,72.2,0.1014,0.6383,0.1751,0.5104,0.2831,0.4825,0.4116,0.5747,0.575
166,Togo,Africa,0.556,39.3,134,368,368,92,17.6,0.176,0.824,23.1,36.1,0.231,0.361,81.1,80.6,0.1411,0.7604,0.2381,0.5086,0.3735,0.8085,0.5355,0.5555,0.556
167,Benin,Africa,0.613,38.6,144,405,405,83.2,7.2,0.072,0.928,15.8,30.8,0.158,0.308,70,73.4,0.1088,0.7321,0.1894,0.5086,0.3206,0.717,0.489,0.6127,0.613
170,Malawi,Africa,0.614,43.9,145,634,634,136.2,16.7,0.167,0.833,14.9,24.2,0.149,0.242,81.2,80.8,0.1113,0.7132,0.1925,0.5054,0.3034,0.81,0.4989,0.6141,0.614
171,Côte d'Ivoire,Africa,0.672,41.5,155,645,645,135.5,9.2,0.092,0.908,16.6,32.7,0.166,0.327,52.4,80.9,0.0885,0.7611,0.1585,0.5053,0.3342,0.6665,0.4829,0.6717,0.672
173,Gambia,Africa,0.641,47.3,148,706,706,113,9.4,0.094,0.906,25.3,39.1,0.253,0.391,72.2,82.7,0.1076,0.7896,0.1894,0.5056,0.3747,0.7745,0.5274,0.6409,0.641
174,Ethiopia,Africa,0.499,33.6,116,353,353,58.4,37.3,0.373,0.627,10.8,20.7,0.108,0.207,77,89.1,0.1504,0.6847,0.2467,0.511,0.2805,0.8305,0.4919,0.4986,0.499
175,Mali,Africa,0.689,33,156,587,587,174.6,8.8,0.088,0.912,7.3,16.2,0.073,0.162,50.1,82.3,0.0735,0.6814,0.1326,0.5049,0.2323,0.662,0.4266,0.6891,0.689
176,Congo (Democratic Republic of the),Africa,0.663,47.3,153,693,693,122.6,8.2,0.082,0.918,14.5,35,0.145,0.35,70.5,71.8,0.0941,0.7411,0.167,0.5054,0.3379,0.7115,0.4953,0.6628,0.663
177,Liberia,Africa,0.649,38.2,150,725,725,108.8,10.7,0.107,0.893,17.3,39.7,0.173,0.397,58,63.9,0.0961,0.7246,0.1698,0.5056,0.3657,0.6095,0.483,0.6486,0.649
179,Sierra Leone,Africa,0.65,35.4,151,"1,360",1000,118.2,12.4,0.124,0.876,16.8,29.7,0.168,0.297,65,68.6,0.0952,0.7047,0.1677,0.5046,0.3272,0.668,0.4796,0.6502,0.65
181,Mozambique,Africa,0.574,45.7,139,489,489,139.7,39.6,0.396,0.604,2.8,8,0.028,0.08,82.5,75.4,0.1017,0.5493,0.1716,0.506,0.1626,0.7895,0.402,0.5731,0.574
184,Burundi,Africa,0.474,33.3,108,712,712,28.3,37.8,0.378,0.622,7.1,9.6,0.071,0.096,84.6,82.7,0.1456,0.5868,0.2333,0.5111,0.2041,0.8365,0.4436,0.4739,0.474
185,Burkina Faso,Africa,0.615,39.8,146,371,371,108.5,9.4,0.094,0.906,6,11.5,0.06,0.115,76.6,90.7,0.0968,0.664,0.1689,0.5079,0.1989,0.8365,0.4389,0.615,0.615
186,Chad,Africa,0.695,39.8,157,856,856,133.5,14.9,0.149,0.851,1.7,9.9,0.017,0.099,64,79.3,0.067,0.6128,0.1209,0.5047,0.1703,0.7165,0.3949,0.6939,0.695
187,Niger,Africa,0.695,34.6,157,553,553,202.4,13.3,0.133,0.867,3.6,8.4,0.036,0.084,40.2,89.4,0.0641,0.6225,0.1162,0.5047,0.1695,0.648,0.3813,0.6953,0.695
188,Central African Republic,Africa,0.648,56.3,149,882,882,91.9,12.5,0.125,0.875,12.3,29.8,0.123,0.298,71.7,84.6,0.0996,0.756,0.176,0.5056,0.3173,0.7815,0.5005,0.6484,0.648
